Sex,Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,46.098,46.77,47.458,48.607,49.884,51.161,52.31,52.998,53.67
1,3,57.34,58.067,58.809,60.05,61.429,62.808,64.049,64.792,65.518
1,6,63.343,64.103,64.881,66.18,67.624,69.067,70.366,71.144,71.904
1,9,67.482,68.279,69.094,70.456,71.969,73.482,74.844,75.659,76.455
1,12,70.996,71.84,72.704,74.146,75.749,77.352,78.794,79.657,80.501
1,18,76.864,77.822,78.802,80.439,82.259,84.078,85.715,86.695,87.653
1,24,81.706,82.791,83.901,85.755,87.816,89.877,91.731,92.841,93.926
1,30,84.51558277,85.3469433,86.64027154,88.83745411,91.33242379,93.88495599,96.23239427,97.66026663,98.59690538
1,36,88.37863651,89.20472611,90.49788649,92.71755946,95.27359106,97.92869928,100.4071992,101.9323762,102.940182
1,42,91.59152368,92.4999858,93.91067749,96.30009195,99.00254338,101.7556073,104.2771267,105.8060983,106.8071048
1,48,94.59361093,95.58070273,97.1040715,99.65875031,102.5104735,105.3759377,107.9664906,109.5219891,110.5342263
1,54,97.48058355,98.53958366,100.1672766,102.8792439,105.8812823,108.8719858,111.5543461,113.1555037,114.1937245
1,60,100.331847,101.4523027,103.171181,106.026498,109.1751441,112.2997816,115.0923665,116.7549954,117.831386
1,66,103.1999595,104.3690418,106.1627011,109.1427246,112.4295761,115.6920629,118.6084238,120.3449993,121.4693629
1,72,106.1048359,107.3099116,109.1618735,112.2468516,115.6608862,119.0611237,122.1100607,123.9297176,125.1094938
1,78,109.0334636,110.2649049,112.1622995,115.335988,118.8668123,122.4023786,125.5884499,127.4969382,128.737064
1,84,111.9458554,113.1991118,115.1355915,118.3893397,122.0305342,125.6987395,129.0230015,131.0226304,132.3253057
1,90,114.7866522,116.0629074,118.0397834,121.3745956,125.1259182,128.9255543,132.3864745,134.4762655,135.8408704
1,96,117.4999879,118.8052553,120.830485,124.2562127,128.1237104,132.0558684,135.6503652,137.8267001,139.2501934
1,102,120.0442031,121.3871973,123.4725646,127.0044134,130.9982857,135.065978,138.7905039,141.0483813,142.5263486
1,108,122.4034171,123.7927752,125.9500588,129.6034839,133.7344759,137.9414029,141.793025,144.1277605,145.6559581
1,114,124.5943049,126.035825,128.2729746,132.0585409,136.3342577,140.6834944,144.6609548,147.0699143,148.6458598
1,120,126.6677753,128.1624542,130.4809221,134.4008357,138.8234114,143.3167691,147.421432,149.9053151,151.5294179
1,126,128.7057627,130.2495672,132.6440511,136.6919657,141.2581515,145.8965233,150.1328531,152.6960355,154.3718335
1,132,130.8126976,132.3990267,134.8608171,139.0262015,143.7303663,148.5147188,152.8894016,155.5385858,157.2715342
1,138,133.0999854,134.7252055,137.2495627,141.5268837,146.3665278,151.2983826,155.8163811,158.5562242,160.3500415
1,144,135.6621289,137.3326017,139.9279871,144.3276874,149.3088178,154.3880792,159.0439098,161.8686162,163.7185106
1,150,138.5476617,140.2831346,142.9751899,147.5268957,152.6623878,157.8800378,162.6461885,165.5302497,167.4159536
1,156,141.7345116,143.5608087,146.3813098,151.1165487,156.4098858,161.7363527,166.5580917,169.4560742,171.3430163
1,162,145.1195552,147.0498421,150.0106525,154.9280091,160.3493168,165.7282823,170.5349712,173.3965112,175.2490052
1,168,148.5284089,150.5461431,153.6181187,158.6614636,164.1418486,169.5021963,174.2312589,177.0206409,178.8164693
1,174,151.7521046,153.8127163,156.9318906,162.0077536,167.4641466,172.7454817,177.3622413,180.0676464,181.8027041
1,180,154.6055622,156.6565818,159.7529343,164.7712603,170.139255,175.310506,179.8124447,182.4428851,184.1269767
1,186,156.9777005,158.9797544,162.0034846,166.9071674,172.1562865,177.2162598,181.6236202,184.1996965,185.8493063
1,192,158.8449655,160.7802183,163.7104424,168.4805469,173.6100518,178.5761676,182.9179257,185.4622948,187.0940877
1,198,160.2508441,162.1195857,164.9586613,169.6041427,174.6309856,179.5270853,183.8301738,186.3612801,187.9881233
1,204,161.2732955,163.0860132,165.8490577,170.3930664,175.340954,180.1896498,184.4741322,187.0040394,188.6338345
1,210,161.9976976,163.7681929,166.4742799,170.9435584,175.8359757,180.6555257,184.9342803,187.4693732,189.1058089
1,216,162.501063,164.2423904,166.9093676,171.3282079,176.1850208,180.9888527,185.2692255,187.8120038,189.4560086
1,222,162.8458172,164.5685992,167.2109353,171.598755,176.4351874,181.232536,185.5182368,188.0690108,189.7200672
1,228,163.0793392,164.7914756,167.4199044,171.7909712,176.6178621,181.4147056,185.7072763,188.2653392,189.9223642
1,234,163.2360985,164.9430978,167.5650814,171.9292179,176.753807,181.5537583,185.8535364,188.4178347,190.0796588
1,240,163.3333326,165.0388523,167.6592824,172.0227268,176.8492322,181.6537998,185.9599411,188.5290125,190.1943135
2,0,45.422,46.084,46.761,47.891,49.148,50.404,51.535,52.212,52.873
2,3,55.593,56.34,57.105,58.383,59.803,61.223,62.501,63.265,64.013
2,6,61.198,62.003,62.827,64.202,65.731,67.26,68.636,69.459,70.264
2,9,65.312,66.17,67.048,68.514,70.144,71.773,73.239,74.117,74.975
2,12,68.865,69.78,70.715,72.278,74.015,75.752,77.315,78.25,79.165
2,18,74.9,75.931,76.986,78.749,80.708,82.667,84.429,85.484,86.516
2,24,79.962,81.108,82.28,84.239,86.415,88.592,90.551,91.723,92.869
2,30,83.29206184,84.16952943,85.52398013,87.7960919,90.33341722,92.88403041,95.19083262,96.57635253,97.47813528
2,36,86.90307328,87.80528157,89.20284893,91.56065781,94.21335709,96.9007148,99.34898744,100.8275527,101.7931359
2,42,90.01465759,90.95114701,92.40497144,94.86634477,97.6484807,100.4808219,103.0732359,104.6443859,105.6726719
2,48,93.06861913,94.04022021,95.55163545,98.11904662,101.033927,104.0154114,106.7566748,108.4237579,109.5171624
2,54,96.17495324,97.18028656,98.74731484,101.4179641,104.4634511,107.5932772,110.4840992,112.2483051,113.4079442
2,60,99.35047319,100.3890853,102.0108651,104.7829358,107.9566031,111.2321213,114.2701285,116.1301284,117.3552032
2,66,102.5639698,103.6367221,105.3140925,108.1876502,111.4875806,114.9047572,118.0845041,120.03622,121.3237564
2,72,105.7614857,106.8701003,108.6049935,111.5812164,115.0054978,118.5587525,121.8718331,123.9086035,125.2535916
2,78,108.8820206,110.0285133,111.8231928,114.9034294,118.4496481,122.1319914,125.5677788,127.6811055,129.0771148
2,84,111.868361,113.054628,114.9111662,118.0964128,121.7616844,125.5655273,129.1126986,131.2935761,132.7338033
2,90,114.674938,115.9026074,117.8227724,121.113839,124.8956114,128.8143555,132.4631302,134.7038082,136.1824107
2,96,117.2736916,118.5443251,120.5300007,123.92854,127.8262759,131.8566506,135.6015364,137.8974887,139.411004
2,102,119.6590402,120.9748035,123.029093,126.5396411,130.5573839,134.7023324,138.5449986,140.8967672,142.4453609
2,108,121.8536605,123.2186111,125.3477734,128.9808329,133.1303527,137.4018066,141.3531879,143.7674316,145.3554829
2,114,123.9172948,125.3393004,127.5553896,131.330937,135.634186,140.0538485,144.1332799,146.6214882,148.2564292
2,120,125.9599043,127.4524005,129.7752299,133.7239135,138.2111552,142.8050794,147.0322225,149.6043767,151.2919534
2,126,128.1540923,129.7346372,132.1884911,136.3432832,141.0396832,145.8205935,150.1959657,152.8473131,154.5823786
2,132,130.7216652,132.4013028,134.9982982,139.3663536,144.2609497,149.1983881,153.6782905,156.3754566,158.1334886
2,138,133.8388331,135.6003795,138.3100351,142.8303943,147.8423918,152.8437944,157.336476,160.0213216,161.7634371
2,144,137.4380555,139.2235689,141.9594471,146.4957662,151.4865636,156.4280126,160.8353311,163.4554684,165.1502647
2,150,141.0884738,142.8282787,145.4925187,149.9058698,154.755501,159.5512908,163.8238923,166.3618445,168.0026622
2,156,144.2287179,145.8894106,148.437627,152.6720956,157.3436995,161.9818377,166.1288638,168.5986736,170.1979436
2,162,146.5572714,148.148675,150.5965645,154.6800825,159.2074654,163.7249588,167.7826481,170.207392,171.780673
2,168,148.1173446,149.6655332,152.0508033,156.0401024,160.4776996,164.920633,168.9238654,171.3216174,172.8795764
2,174,149.1120814,150.6391923,152.9936001,156.9355896,161.3267744,165.7296508,169.7021662,172.0839168,173.6324287
2,180,149.7416255,151.2611287,153.6039864,157.5271178,161.8979913,166.281224,170.236624,172.6083849,174.1505102
2,186,150.1484074,151.6671193,154.0082162,157.9269542,162.2908474,166.6649274,170.6102627,172.9751838,174.5125428
2,192,150.4209266,151.9417942,154.2853872,158.2060942,162.5689958,166.9388003,170.8775306,173.2372685,174.7707732
2,198,150.6111457,152.1351593,154.4827098,158.407663,162.7718741,167.1394771,171.0732871,173.4287717,174.9589959
2,204,150.749138,152.2763929,154.6280858,158.5577008,162.9238449,167.2900467,171.2198128,173.5716411,175.099002
2,210,150.8525106,152.3827387,154.7382408,158.6721776,163.0401953,167.4052723,171.33153,173.6801522,175.2049944
2,216,150.9318778,152.464695,154.8235077,158.7611821,163.1307866,167.4948296,171.4179802,173.7637802,175.2864101
2,222,150.9939053,152.52892,154.8905318,158.8313341,163.202203,167.5652567,171.4856495,173.8289744,175.349672
2,228,151.0429803,152.5798353,154.9437809,158.8871595,163.2590052,167.6211174,171.5390761,173.8802445,175.3992664
2,234,151.0821295,152.6205147,154.9863922,158.9318765,163.304465,167.6656981,171.5815258,173.9208289,175.4384076
2,240,151.1111674,152.6507234,155.0180729,158.9651429,163.338251,167.6987436,171.6128653,173.9506901,175.4671292
